CATEGORY,BRAND NAME,SALT / COMPOSITION,DETAILS / USAGE,ORIGINAL NAME,Category,Usage
==== AYURVEDIC & HERBAL STARTS HERE ====,,,,,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,AVG Jamun Neem Karela Plus Powder,,Ayurvedic Medicine,AVG Jamun Neem Karela Plus Powder,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Amla Churna,,Ayurvedic,Amla Churna,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic & OTC Medicines,,IME-9 Tablets,Ayurvedic & OTC Medicines,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic & OTC Medicines,,AIMIL BGR-34 Tablets,Ayurvedic & OTC Medicines,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Churan/Herbal Mix,Assorted Jars,Ayurvedic Medicine,Ayurvedic Churan/Herbal Mix (Assorted Jars),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Ashvagandha Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Liv.52 DS Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Septilin Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Cystone Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Pilex Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Gasex Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,IME-9 Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,BGR-34 Tablets (AIMIL),Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Kayam Tablet,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Baidyanath Anu Taila,,Ayurvedic/Oil,Baidyanath Anu Taila,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Baidyanath Triphala Juice,,Ayurvedic Medicine,Baidyanath Triphala Juice,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Baidyanath Triphala Juice,,General,Baidyanath Triphala Juice,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Boro Plus Ayurvedic Antiseptic Cream,,Skin Care,Boro Plus Ayurvedic Antiseptic Cream,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Boroline Antiseptic Ayurvedic Cream,,Cream/Ointment/Gel,Boroline Antiseptic Ayurvedic Cream,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Cream/Ointment/Gel,,Himalaya FootCare Cream,Cream/Ointment/Gel,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Chyawanprash,,General,Dabur Chyawanprash,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Gulabari Rose Water,,Skincare,Dabur Gulabari Rose Water,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Honitus Herbal Cough Remedy,,General,Dabur Honitus Herbal Cough Remedy,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Meswak Toothpaste,,Dental Care,Dabur Meswak Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Red Paste,,Dental Care,Dabur Red Paste,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Shilajit Gold,,Health & Supplements,Dabur Shilajit Gold,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Sitopaladi Churna,,Ayurvedic Medicine,Dabur Sitopaladi Churna,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Divya Gashar Churna,Patanjali,Ayurvedic Medicine,Divya Gashar Churna (Patanjali),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Divya Lavan Bhaskar Churna,Patanjali,Ayurvedic Medicine,Divya Lavan Bhaskar Churna (Patanjali),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Divya Mukta Vati Extra Power,Patanjali,Ayurvedic Medicine,Divya Mukta Vati Extra Power (Patanjali),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dr. Ortho Ayurvedic Joint Pain Oil,,Ayurvedic/Pain Relief,Dr. Ortho Ayurvedic Joint Pain Oil,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Hamdard Joshina,,General,Hamdard Joshina,General Medicine,Used as directed by a registered medical practitioner.
